Match_ID,Home_team,Away_team,FirstHalf_H,FirstHalf_A,FirstHalf_R,FH_Over_Under_1.5,SecondHalf_H,SecondHalf_A,SecondHalf_R,SH_Over_Under_1.5,Final_H,Final_A,Final_R,F_Over_Under_2.5,Winning_Team,Losing_Team,Payout_Winning Team
373,Everton,Leicester,3,2,H,O,1,0,H,U,4,2,H,O,Everton,Leicester,1.65
374,Sunderland,Manchester United,0,1,A,U,0,2,A,O,0,3,A,O,Manchester United,Sunderland,1.5
375,Bournemouth,Chelsea,1,2,A,O,0,1,A,U,1,3,A,O,Chelsea,Bournemouth,1.5
376,Manchester City,Hull City,1,0,H,U,2,1,H,O,3,1,H,O,Manchester City,Hull City,1.14
377,Middlesbrough,Burnley,0,0,D,U,0,0,D,U,0,0,D,U,Middlesbrough / Burnley,Middlesbrough / Burnley,3.25
378,Stoke City,Liverpool,1,0,H,U,0,2,A,O,1,2,A,O,Liverpool,Stoke City,1.8
379,West Ham,Swansea,1,0,H,U,0,0,D,U,1,0,H,U,West Ham,Swansea,1.95
380,West Brom,Southampton,0,1,A,U,0,0,D,U,0,1,A,U,Southampton,West Brom,2.7
381,Tottenham,Watford,3,0,H,O,1,0,H,U,4,0,H,O,Tottenham,Watford,1.25
382,Chelsea,Manchester City,2,1,H,O,0,0,D,U,2,1,H,O,Chelsea,Manchester City,2.3
383,Liverpool,Bournemouth,1,1,D,O,1,1,D,O,2,2,D,O,Liverpool / Bournemouth,Liverpool / Bournemouth,5.5
384,Arsenal,West Ham,0,0,D,U,3,0,H,O,3,0,H,O,Arsenal,West Ham,1.33
385,Hull City,Middlesbrough,3,2,H,O,1,0,H,U,4,2,H,O,Hull City,Middlesbrough,2.2
386,Southampton,Crystal Palace,1,1,D,O,2,0,H,O,3,1,H,O,Southampton,Crystal Palace,1.73
387,Swansea,Tottenham,1,0,H,U,0,3,A,O,1,3,A,O,Tottenham,Swansea,1.62
388,Manchester United,Everton,0,1,A,U,1,0,H,U,1,1,D,U,Manchester United / Everton,Manchester United / Everton,4
389,Burnley,Stoke City,0,0,D,U,1,0,H,U,1,0,H,U,Burnley,Stoke City,2.5
390,Leicester,Sunderland,0,0,D,U,2,0,H,O,2,0,H,U,Leicester,Sunderland,1.57
391,Watford,West Brom,1,0,H,U,1,0,H,U,2,0,H,U,Watford,West Brom,2.5
392,Arsenal,Manchester City,1,2,A,O,1,0,H,U,2,2,D,O,Arsenal / Manchester City,Arsenal / Manchester City,3.5
393,Swansea,Middlesbrough,0,0,D,U,0,0,D,U,0,0,D,U,Swansea / Middlesbrough,Swansea / Middlesbrough,3.3
394,Southampton,Bournemouth,0,0,D,U,0,0,D,U,0,0,D,U,Southampton / Bournemouth,Southampton / Bournemouth,3.4
395,Burnley,Tottenham,0,0,D,U,0,2,A,O,0,2,A,U,Tottenham,Burnley,1.53
396,Chelsea,Crystal Palace,1,2,A,O,0,0,D,U,1,2,A,O,Crystal Palace,Chelsea,13
397,Hull City,West Ham,0,1,A,U,2,0,H,O,2,1,H,O,Hull City,West Ham,2.5
398,Leicester,Stoke City,1,0,H,U,1,0,H,U,2,0,H,U,Leicester,Stoke City,2.05
399,Manchester United,West Brom,0,0,D,U,0,0,D,U,0,0,D,U,Manchester United / West Brom,Manchester United / West Brom,6
400,Watford,Sunderland,0,0,D,U,1,0,H,U,1,0,H,U,Watford,Sunderland,1.85
401,Liverpool,Everton,2,1,H,O,1,0,H,U,3,1,H,O,Liverpool,Everton,1.57
402,Manchester City,Liverpool,0,0,D,U,1,1,D,O,1,1,D,U,Manchester City / Liverpool,Manchester City / Liverpool,3.5
